-1.0059,-0.0125,-0.0177
-1.0092,-0.0149,-0.0122
-1.0092,-0.0149,-0.0123
-1.0104,-0.0132,-0.0182
-1.0105,-0.0139,-0.0198
-1.0101,-0.0118,-0.0156
-1.0103,-0.0125,-0.0201
-1.0082,-0.014,-0.0197
-1.0099,-0.0122,-0.0192
-1.0104,-0.0114,-0.0166
-1.0104,-0.011,-0.0211
-1.0101,-0.0107,-0.0195
-1.0107,-0.0133,-0.0195
-1.0114,-0.0131,-0.0187
-1.0093,-0.0139,-0.0178
-1.0107,-0.0118,-0.0184
-1.0096,-0.0116,-0.0157
-1.0105,-0.0125,-0.0188
-1.0094,-0.0125,-0.0154
-1.0104,-0.0123,-0.0176
-1.0101,-0.0123,-0.0175
-1.0101,-0.0127,-0.0175
-1.0107,-0.0132,-0.0183
-1.0127,-0.0118,-0.0166
-1.0093,-0.0126,-0.0187
-1.0104,-0.012,-0.0204
-1.0101,-0.0123,-0.0177
-1.0109,-0.0115,-0.0184
-1.0105,-0.0121,-0.0201
-1.0085,-0.0111,-0.0183
-1.0106,-0.0115,-0.0188
-1.0101,-0.0128,-0.0181
-1.0089,-0.0128,-0.0195
-1.01,-0.0122,-0.0182
-1.0098,-0.012,-0.0189
-1.0095,-0.0104,-0.0192
-1.0104,-0.0099,-0.0197
-1.011,-0.0115,-0.0215
-1.0101,-0.0138,-0.021
-1.0104,-0.0143,-0.0217
-1.01,-0.014,-0.0198
-1.01,-0.0116,-0.02
-1.0092,-0.0101,-0.0193
-1.0115,-0.0115,-0.02
-1.0095,-0.0129,-0.0182
-1.0112,-0.0135,-0.0179
-1.01,-0.0131,-0.0187
-1.0103,-0.0145,-0.0187
-1.0095,-0.0121,-0.0184
-1.0081,-0.0098,-0.0177
-1.0109,-0.0114,-0.0193
-1.0104,-0.0139,-0.0189
-1.0104,-0.0126,-0.0183
-1.0104,-0.012,-0.0186
-1.0098,-0.0118,-0.0186
-1.0106,-0.0121,-0.0175
-1.0111,-0.0133,-0.0181
-1.01,-0.0139,-0.0188
-1.0096,-0.0134,-0.0175
-1.0103,-0.0132,-0.0178
-1.0066,-0.0105,-0.0177
-1.0134,-0.01,-0.0146
-1.0087,-0.0134,-0.0156
-1.0114,-0.014,-0.016
-1.0104,-0.0137,-0.0155
-1.0093,-0.0122,-0.0168
-1.0093,-0.0117,-0.0178
-1.0105,-0.012,-0.0157
-1.0098,-0.012,-0.0175
-1.0103,-0.0117,-0.0172
-1.0099,-0.0132,-0.0172
-1.0105,-0.0126,-0.0155
-1.0076,-0.0128,-0.0165
-1.0111,-0.0125,-0.0157
-1.0105,-0.0117,-0.016
-1.0112,-0.0112,-0.0157
-1.0105,-0.0131,-0.0164
-1.0101,-0.0138,-0.0154
-1.01,-0.0126,-0.0164
-1.0068,-0.011,-0.0159
-1.0062,-0.0118,-0.0151
-1.0098,-0.0131,-0.0168
-1.0095,-0.0128,-0.0159
-1.0077,-0.0132,-0.0131
-1.0106,-0.0134,-0.0166
-1.011,-0.0128,-0.0194
-1.0105,-0.0117,-0.0166
-1.0105,-0.0096,-0.0144
-1.0109,-0.0123,-0.0199
-1.0125,-0.0138,-0.0192
-1.0092,-0.014,-0.016
-1.0083,-0.015,-0.0175
-1.011,-0.0122,-0.0183
-1.01,-0.0111,-0.0164
-1.0106,-0.0125,-0.0168
-1.0054,-0.0117,-0.0171
-1.0082,-0.0118,-0.015
-1.0096,-0.0138,-0.0183
-1.0033,-0.0135,-0.0168
-1.0121,-0.0133,-0.0149
-1.0145,-0.0116,-0.0186
-1.0135,-0.0098,-0.0187
-1.0074,-0.0122,-0.0148
-1.0078,-0.0134,-0.016
-1.0111,-0.0145,-0.0201
-1.0101,-0.0128,-0.0173
-1.0106,-0.0109,-0.0177
-1.0106,-0.0107,-0.0175
-1.0099,-0.0126,-0.0173
-1.0065,-0.0126,-0.0137
-1.006,-0.0144,-0.0131
-1.0123,-0.0128,-0.0133
-1.0123,-0.0121,-0.0129
-1.0101,-0.0107,-0.0166
-1.0068,-0.012,-0.0129
-0.9891,-0.0116,-0.0183
-1.0057,-0.0132,-0.0153
